Goal;GeoAreaName;Least Developed Countries;Region
NaN;Zimbabwe;Developing;Eastern Africa
NaN;Seychelles;Developing;Eastern Africa
NaN;Réunion;Developing;Eastern Africa
NaN;Mayotte;Developing;Eastern Africa
NaN;Mauritius;Developing;Eastern Africa
NaN;Kenya;Developing;Eastern Africa
NaN;French Southern Territories;Developing;Eastern Africa
NaN;British Indian Ocean Territory;Developing;Eastern Africa
NaN;Zambia;LDC;Eastern Africa
NaN;United Republic of Tanzania;LDC;Eastern Africa
NaN;Uganda;LDC;Eastern Africa
NaN;South Sudan;LDC;Eastern Africa
NaN;Somalia;LDC;Eastern Africa
NaN;Rwanda;LDC;Eastern Africa
NaN;Mozambique;LDC;Eastern Africa
NaN;Malawi;LDC;Eastern Africa
NaN;Madagascar;LDC;Eastern Africa
NaN;Ethiopia;LDC;Eastern Africa
NaN;Eritrea;LDC;Eastern Africa
NaN;Djibouti;LDC;Eastern Africa
NaN;Comoros;LDC;Eastern Africa
NaN;Burundi;LDC;Eastern Africa
NaN;Gabon;Developing;Middle Africa
NaN;Cameroon;Developing;Middle Africa
NaN;Sao Tome and Principe;LDC;Middle Africa
NaN;Equatorial Guinea;LDC;Middle Africa
NaN;Democratic Republic of the Congo;LDC;Middle Africa
NaN;Chad;LDC;Middle Africa
NaN;Central African Republic;LDC;Middle Africa
NaN;Angola;LDC;Middle Africa
NaN;Western Sahara;Developing;Northern Africa
NaN;Tunisia;Developing;Northern Africa
NaN;Morocco;Developing;Northern Africa
NaN;Libya;Developing;Northern Africa
NaN;Egypt;Developing;Northern Africa
NaN;Algeria;Developing;Northern Africa
NaN;Sudan;LDC;Northern Africa
NaN;South Africa;Developing;Southern Africa
NaN;Namibia;Developing;Southern Africa
NaN;Eswatini;Developing;Southern Africa
NaN;Botswana;Developing;Southern Africa
NaN;Lesotho;LDC;Southern Africa
NaN;Saint Helena;Developing;Western Africa
NaN;Nigeria;Developing;Western Africa
NaN;Ghana;Developing;Western Africa
NaN;Côte d'Ivoire;Developing;Western Africa
NaN;Congo;Developing;Western Africa
NaN;Cabo Verde;Developing;Western Africa
NaN;Togo;LDC;Western Africa
NaN;Sierra Leone;LDC;Western Africa
NaN;Senegal;LDC;Western Africa
NaN;Niger;LDC;Western Africa
NaN;Mauritania;LDC;Western Africa
NaN;Mali;LDC;Western Africa
NaN;Liberia;LDC;Western Africa
NaN;Guinea-Bissau;LDC;Western Africa
NaN;Guinea;LDC;Western Africa
NaN;Gambia;LDC;Western Africa
NaN;Burkina Faso;LDC;Western Africa
NaN;Benin;LDC;Western Africa
